index;lat;lon;grad;dist;label
0;46.823613;9.277651;-1.8011397959151476;52.74437898461868;Start
0;46.823218;9.277496;1.1756260544902444;119.08548595472699;
0;46.822814;9.276224;23.086199610167384;66.70651843977726;
0;46.822273;9.27589;18.68229334925129;74.93726673851347;
0;46.821537;9.27574;22.76167530174528;65.46091094998349;
0;46.821013;9.276113;13.545896000645993;70.87017351633529;
0;46.820686;9.276851;3.6554859909185664;142.25194715335618;
0;46.820294;9.278548;3.622554826615137;201.51523853736114;
0;46.819354;9.280994;2.79092033757263;89.57618626170984;
0;46.819012;9.28208;1.8398913961377699;141.31268864334766;
0;46.818633;9.283206;6.019581421827229;104.65843982367142;
0;46.818154;9.284122;5.141117722461376;159.4983900908262;
0;46.817784;9.286335;7.553763884070706;108.55515377297024;
0;46.817419;9.287853;5.017022470065298;185.3689126466861;
0;46.817065;9.28976;7.581166234816759;52.76233070355147;
0;46.816894;9.290685;7.27111600387248;64.6393208071072;
0;46.816608;9.291369;5.76879461816075;57.20432461941391;
0;46.816485;9.291972;5.024823331002617;153.23921843165863;
0;46.815908;9.293641;-4.470952082428049;176.69614557152272;
0;46.815069;9.295744;-13.518343317256196;62.13779161295042;
0;46.814818;9.296421;-14.66102850560855;66.16179755935491;
0;46.814641;9.2969;-26.971984788696275;76.74629865828501;
0;46.814326;9.298037;-23.558266498547773;78.1042187511307;
0;46.814033;9.299233;-9.782354200082022;87.91339818719507;
0;46.813882;9.300152;-3.292063672206432;69.8649913553595;
0;46.81385;9.300759;-6.39350003384601;93.84531114783931;
0;46.814444;9.301722;-20.700499611866128;52.65573394060448;
0;46.814524;9.302347;-9.35236699159902;118.68653154833146;
0;46.814355;9.303183;-29.57564926669128;63.90392254646349;
0;46.814155;9.302354;-27.492659903205563;51.28641626398576;
0;46.81382;9.301704;-9.080520206413755;56.16418315327246;
0;46.813375;9.301225;-14.08589478188819;87.3213962652585;
0;46.812813;9.301156;-22.081548827460043;86.95042249990775;
0;46.812691;9.299767;-19.549161099232236;60.87217727448842;
0;46.812596;9.298965;-16.932215349282735;98.03796879244874;
0;46.812477;9.297734;-16.9050688431886;58.562316970326265;
0;46.812254;9.297436;-6.390580981131526;71.98093590522876;
0;46.812017;9.297855;-12.093751701869401;58.708002074348315;
0;46.811564;9.298209;-6.636936640983859;61.77548802684123;
0;46.811283;9.298662;-1.4559468680405017;322.8139778428499;
0;46.809277;9.29684;-13.476723751686576;51.1993873817928;
0;46.809167;9.295958;-9.335244292290268;53.56046230230277;
0;46.809176;9.295422;-13.701252854576387;67.14714411629166;
0;46.809338;9.294487;-10.319611755644669;61.04880831930586;
0;46.809535;9.293895;-12.598583889307093;64.29294015238247;
0;46.809508;9.293193;-16.370990775495628;61.694494478109846;
0;46.80902;9.292407;-9.165878236415177;80.73421672350469;
0;46.808582;9.291896;-10.9540858786999;99.50624927265744;
0;46.808036;9.291033;-12.193523876386484;55.767307867158706;
0;46.807672;9.290496;-6.647669869052225;57.162886768649514;
0;46.80719;9.290296;-0.8296645784967681;506.2286746783666;
0;46.803181;9.289433;0.30166775385838207;66.29810360637202;
0;46.80266;9.288994;6.674510853955487;70.41714520869482;
0;46.802322;9.288281;0.16555810696172135;241.6070148062645;
0;46.801569;9.285292;-6.135599867197121;50.52480714352805;
0;46.80119;9.284971;-5.487491175871677;61.95909735490386;
0;46.800844;9.284633;-11.585470468008813;50.06270583499918;
0;46.800766;9.284025;-15.772053873675254;59.59908630346035;
0;46.801023;9.283146;-10.769429685496283;54.78470236864814;
0;46.800945;9.282634;-12.766732283097976;50.91357644121217;
0;46.80059;9.282178;-11.305972387764536;54.83827297075095;
0;46.80036;9.28161;-11.463966479824386;95.08052923203377;
0;46.800212;9.280412;-12.044217516629654;53.13753252266815;
0;46.799999;9.279805;-13.11884121334185;57.16968349592116;
0;46.79981;9.279036;-11.07491862824473;57.78823497337453;
0;46.799646;9.278362;-9.288187927887275;61.368267354776435;
0;46.79948;9.27766;-4.577385331185638;78.64751904265722;
0;46.799067;9.276856;-1.585822260820027;100.89403078328996;
0;46.798675;9.275801;-10.657467957096832;69.43487918321443;
0;46.798275;9.274823;-3.506819087326013;71.2896769906165;
0;46.797928;9.273822;-1.6103527707833514;117.98657005295354;
0;46.79753;9.272894;-14.518583888951559;81.27514425824756;
0;46.796772;9.271933;-8.88921399927939;53.998025026611685;
0;46.796635;9.271583;-19.289973302140247;62.72688826716785;
0;46.796272;9.270774;-10.590670287044349;64.20745633369825;
0;46.795935;9.270364;-12.735028975239585;63.60409556781269;
0;46.795406;9.270318;-17.85776859714273;53.1981358607145;
0;46.795001;9.270072;-15.002610000170849;55.99025769452328;
0;46.794535;9.269928;-19.178718644870266;50.05548169177473;
0;46.794072;9.269595;-15.71056673066146;95.4771413225044;
